Rk,Player,Nation,Pos,Squad,Age,MP,Min,Starts,Compl,Subs,unSub
436,Oumar Sako,ne NIG,DF,Rostov,27,11,990.0,11,11,0,0
437,Nikita Saltykov,ru RUS,MF,Samara,18,29,2319.0,28,7,1,1
438,Ilya Samoshnikov,ru RUS,"MF,DF",Loko Moscow,25,28,1503.0,16,9,12,1
439,Douglas Santos,br BRA,"DF,MF",Zenit,29,26,2219.0,26,23,0,1
440,Pedrinho Santos,br BRA,"MF,FW",Zenit,17,11,421.0,4,0,7,1
441,Vladislav Sarveli,ru RUS,FW,Loko Moscow,25,15,412.0,1,1,14,13
442,Miloš Šatara,ba BIH,DF,Akhmat Grozny,27,7,630.0,7,7,0,5
443,Saba Sazonov,ge GEO,DF,Dynamo Mosc,21,4,89.0,0,0,4,1
444,Denis Scherbitskiy,by BLR,GK,Ural,27,0,,0,0,0,17
445,Guilherme Schettine,br BRA,FW,Ural,27,24,1113.0,11,0,13,4
446,Aleksandr Selikhov,ru RUS,GK,Spartak Moscow,29,5,405.0,5,4,0,15
447,David Semenchuk,ru RUS,DF,Rostov,18,3,40.0,0,0,3,7
448,Andrei Semyonov,ru RUS,DF,Akhmat Grozny,34,18,1619.0,18,17,0,2
449,Rayan Senhadji,fr FRA,DF,Fakel Voronezh,26,12,1078.0,12,10,0,0
450,Ivan Sergeyev,ru RUS,FW,Zenit,28,26,1132.0,12,2,14,4
451,Edgar Sevikyan,am ARM,FW,Nizhny Novgorod,21,18,1157.0,15,2,3,0
452,Dardan Shabanhaxhaj,at AUT,"FW,MF",Rubin Kazan,22,10,427.0,5,0,5,2
453,Ruslan Shagiakhmetov,ru RUS,DF,Dynamo Mosc,19,0,,0,0,0,3
454,Vladimir Shaikhutdinov,ru RUS,GK,CSKA Moscow,19,0,,0,0,0,16
455,Anton Shamonin,ru RUS,FW,Rostov,18,0,,0,0,0,1
456,Yegor Shamov,ru RUS,GK,Rubin Kazan,29,1,90.0,1,1,0,22
457,Daniil Shantalii,ru RUS,MF,Rostov,19,0,,0,0,0,14
458,Kirill Shchetinin,ru RUS,MF,Rostov,21,25,1690.0,19,10,6,4
459,Mikhail Shchetinin,ru RUS,MF,Loko Moscow,18,0,,0,0,0,14
460,Giorgi Shelia,ru RUS,GK,Akhmat Grozny,34,25,2205.0,25,24,0,1
461,Timofey Shipunov,ru RUS,MF,Sochi,20,2,59.0,1,0,1,1
462,Maksim Shiryaev,ru RUS,DF,Rubin Kazan,28,0,,0,0,0,2
463,Vladislav Shitov,ru RUS,"FW,MF",Samara,20,24,1385.0,15,1,9,0
464,Maksim Shnaptsev,ru RUS,DF,Nizhny Novgorod,19,12,412.0,2,0,10,14
465,Mikhail Shtepa,ru RUS,GK,Krasnodar,20,0,,0,0,0,21
466,Anton Shunin,ru RUS,GK,Dynamo Mosc,36,15,1350.0,15,15,0,12
467,Anton Shvets,ru RUS,"MF,DF",Akhmat Grozny,30,18,788.0,9,5,9,3
468,Maksim Sidorov,ru RUS,DF,Orenburg,25,17,1251.0,14,10,3,12
469,Miguel Silveira,br BRA,"FW,MF",Sochi,20,24,738.0,6,0,18,3
470,Aleksandr Silyanov,ru RUS,DF,Loko Moscow,22,23,1739.0,19,16,4,7
471,Mikhail Sivakow,by BLR,DF,Orenburg,35,10,740.0,8,8,2,18
472,Dmitri Skopintsev,ru RUS,DF,Dynamo Mosc,26,29,2255.0,24,22,5,1
473,Fyodor Smolov,ru RUS,MF,Dynamo Mosc,33,25,1122.0,13,1,12,2
474,Aleksandr Sobolev,ru RUS,FW,Spartak Moscow,26,27,1790.0,19,12,8,1
475,Artem Sokolov,ru RUS,MF,Samara,20,3,15.0,0,0,3,17
476,Aleksandr Soldatenkov,ru RUS,DF,Samara,26,26,2339.0,26,25,0,0
477,Yaroslav Solovyov,ru RUS,GK,Rostov,17,0,,0,0,0,6
478,Yegor Sorokin,ru RUS,DF,Rubin Kazan,27,0,,0,0,0,2
479,Guillermo Soto,cl CHI,DF,FC Baltika Kaliningrad,29,9,591.0,9,1,0,1
480,Eduard Spertsyan,am ARM,"MF,FW",Krasnodar,23,29,2520.0,28,21,1,0
481,Mateo Stamatov,bg BUL,DF,Nizhny Novgorod,24,22,1317.0,15,4,7,3
482,Kirill Stolbov,ru RUS,MF,Rostov,19,0,,0,0,0,10
483,Semen Stolbov,ru RUS,MF,Orenburg,20,0,,0,0,0,2
484,Daniil Stoliarov,ru RUS,MF,Spartak Moscow,20,0,,0,0,0,1
485,Dmitry Stotsky,ru RUS,DF,Nizhny Novgorod,33,22,1086.0,14,5,8,6
486,Danila Sukhomlinov,ru RUS,MF,Rostov,20,0,,0,0,0,6
487,Timur Suleimanov,ru RUS,FW,Loko Moscow,23,22,814.0,7,1,15,1
488,Timur Suleimanov,ru RUS,"FW,MF",Nizhny Novgorod,23,7,402.0,5,0,2,0
489,Magomed-Shapi Suleymanov,ru RUS,"FW,MF",Krasnodar,23,1,1.0,0,0,1,4
490,Fanil Sungatulin,ru RUS,MF,Ural,21,8,436.0,4,0,4,14
491,Kirill Suslov,ru RUS,DF,Fakel Voronezh,31,11,403.0,2,2,9,16
492,Aleksei Sutormin,ru RUS,"FW,MF",Sochi,29,10,477.0,7,0,3,2
493,Aleksei Sutormin,ru RUS,"DF,FW",Zenit,29,7,149.0,0,0,7,11
494,Ilja Svinov,ru RUS,GK,Spartak Moscow,22,2,180.0,2,2,0,24
495,Maksim Syshchenko,ru RUS,DF,Orenburg,19,0,,0,0,0,1
496,Nikolai Sysuyev,ru RUS,GK,Orenburg,24,26,2340.0,26,26,0,1
497,Kasra Taheri,ir IRN,FW,Rubin Kazan,16,2,27.0,0,0,2,6
498,Rizvan Tashaev,ru RUS,GK,Akhmat Grozny,19,0,,0,0,0,18
499,Tomás Tavares,pt POR,DF,Spartak Moscow,22,3,41.0,0,0,3,7
500,Vladislav Teplyakov,ru RUS,DF,Samara,19,0,,0,0,0,1
501,Denis Terentyev,ru RUS,DF,Rostov,30,14,787.0,8,6,6,14
502,Egor Teslenko,gr GRE,DF,Rubin Kazan,22,10,565.0,6,4,4,13
503,Jordhy Thompson,cl CHI,"FW,MF",Orenburg,18,10,716.0,10,1,0,0
504,Dmitri Tikhiy,ru RUS,DF,Nizhny Novgorod,30,18,1404.0,15,15,3,2
505,Ilia Tikhomirov,ru RUS,GK,Spartak Moscow,18,0,,0,0,0,1
506,Mikhail Tikhonov,ru RUS,DF,Nizhny Novgorod,25,0,,0,0,0,2
507,Nair Tiknizyan,am ARM,"MF,DF",Loko Moscow,24,22,1452.0,15,7,7,2
508,Artyom Timofeyev,ru RUS,MF,Akhmat Grozny,29,26,2060.0,24,15,2,2
509,Nikolai Titkov,ru RUS,MF,Orenburg,22,1,31.0,0,0,1,19
510,Darko Todorović,ba BIH,"DF,MF",Akhmat Grozny,26,28,2290.0,27,19,1,0
511,Nikolay Tolstopyatov,ru RUS,DF,Nizhny Novgorod,21,3,113.0,1,1,2,14
512,Vítor Tormena,br BRA,DF,Krasnodar,27,23,1962.0,22,20,1,1
513,Vladislav Torop,ru RUS,GK,CSKA Moscow,19,5,450.0,5,5,0,23
514,David Toshevski,mk MKD,FW,Rostov,22,1,19.0,0,0,1,0
515,Aleksandr Troshechkin,ru RUS,"MF,FW",Nizhny Novgorod,27,28,2112.0,28,5,0,1
516,Valeri Tsarukyan,ru RUS,MF,Nizhny Novgorod,21,4,51.0,0,0,4,8
517,Mikhail Tsulaya,ru RUS,GK,Rostov,18,0,,0,0,0,13
518,Dmitri Tsypchenko,ru RUS,FW,Samara,24,1,23.0,1,0,0,0
519,Roman Tugarev,ru RUS,FW,Rostov,25,7,296.0,4,1,3,10
520,Zé Turbo,gw GNB,FW,Nizhny Novgorod,26,23,816.0,7,1,16,5
521,Konstantin Tyukavin,ru RUS,FW,Dynamo Mosc,21,30,2326.0,29,8,1,0
522,Manfred Ugalde,cr CRC,"FW,MF",Spartak Moscow,21,12,789.0,9,3,3,0
523,Nail Umyarov,ru RUS,MF,Spartak Moscow,23,23,983.0,11,3,12,5
524,Merabi Uridia,ge GEO,FW,Rubin Kazan,30,4,62.0,0,0,4,6
525,Egor Ushakov,ru RUS,FW,Samara,20,1,2.0,0,0,1,0
526,Daniil Utkin,ru RUS,MF,Rostov,23,24,1750.0,20,11,4,2
527,Rizvan Utsiyev,ru RUS,DF,Akhmat Grozny,35,9,403.0,3,2,6,19
528,Valentín Vada,ar ARG,"FW,MF",Rubin Kazan,27,21,1535.0,18,6,3,1
529,Ilya Vakhaniya,ru RUS,DF,Rostov,22,28,2153.0,26,15,2,1
530,Eduard Valiakhmetov,ru RUS,MF,FC Baltika Kaliningrad,26,0,,0,0,0,4
531,Artem Varganov,ru RUS,DF,Nizhny Novgorod,18,0,,0,0,0,1
532,Dmitrii Vasilev,ru RUS,MF,Zenit,19,9,189.0,1,1,8,10
533,Aleksandr Vasyutin,ru RUS,GK,Zenit,28,1,90.0,1,1,0,27
534,Danila Vedernikov,ru RUS,DF,Nizhny Novgorod,22,1,7.0,0,0,1,4
535,Lucas Vera,ar ARG,MF,Orenburg,26,28,1938.0,22,13,6,1
536,Maksim Vityugov,ru RUS,MF,Samara,25,22,1446.0,16,3,6,0
537,Rai Vloet,nl NED,"FW,MF",Ural,28,5,55.0,0,0,5,5
538,Sergey Volkov,ru RUS,DF,Krasnodar,20,22,1720.0,20,10,2,6
539,Vladislav Volkov,ru RUS,DF,Akhmat Grozny,23,3,50.0,0,0,3,12
540,Dmitry Vorobyev,ru RUS,"FW,MF",Orenburg,25,24,1886.0,22,9,2,1
541,Igor Vujačić,me MNE,DF,Rubin Kazan,28,28,2520.0,28,28,0,1
542,Aleksandr Vyacheslavovich Zhirov,ru RUS,DF,FC Baltika Kaliningrad,32,19,1681.0,19,17,0,8
543,Wendel,br BRA,MF,Zenit,25,27,2295.0,26,14,1,0
544,Willyan,br BRA,DF,CSKA Moscow,28,24,1981.0,24,20,0,0
545,Vyacheslav Yakimov,ru RUS,MF,Fakel Voronezh,25,24,1699.0,20,10,4,2
546,Denis Yakuba,ru RUS,"DF,MF",Samara,27,8,159.0,0,0,8,2
547,Magomed Yakuev,ru RUS,MF,Akhmat Grozny,19,1,1.0,0,0,1,4
548,Nikita Yanovich,ru RUS,GK,Rubin Kazan,20,0,,0,0,0,29
549,Vladimir Yarlykov,ru RUS,DF,Krasnodar,21,0,,0,0,0,1
550,Andrei Yegorychev,ru RUS,"MF,FW",Ural,30,25,2122.0,24,18,1,0
551,Roman Yevgenyev,ru RUS,DF,Samara,24,23,1989.0,22,22,1,7
552,Roman Yezhov,ru RUS,MF,Samara,25,17,1290.0,15,9,2,1
553,Ibrohimxalil Yoʻldoshev,uz UZB,DF,Nizhny Novgorod,22,4,146.0,1,0,3,4
554,Igor Yurganov,ru RUS,DF,Sochi,29,5,346.0,4,2,1,11
555,Igor Yurganov,ru RUS,"DF,MF",Fakel Voronezh,29,10,773.0,9,7,1,2
556,Aleksandr Yushin,ru RUS,MF,Ural,28,13,629.0,10,0,3,4
557,Anton Zabolotny,ru RUS,FW,CSKA Moscow,32,29,1578.0,17,10,12,0
